Value,Weight,Taxonomy
Italy,53855860,-
Romania,1083771,East Europe;Europe;Not Italy
Morocco,420712,North-West Africa;Africa;Not Italy
Albania,419987,East Europe;Europe;Not Italy
China,300216,East Asia;Asia;Not Italy
Ukraine,225307,East Europe;Europe;Not Italy
India,162492,Central Asia;Asia;Not Italy
Bangladesh,159003,Central Asia;Asia;Not Italy
Philippines,158997,East Asia;Asia;Not Italy
Egypt,140322,North-East Africa;Africa;Not Italy
Pakistan,134182,Central Asia;Asia;Not Italy
Nigeria,119435,West Africa;Africa;Not Italy
Moldova,114914,East Europe;Europe;Not Italy
Senegal,110793,West Africa;Africa;Not Italy
Sri Lanka,108069,Central Asia;Asia;Not Italy
Tunisia,99002,North-West Africa;Africa;Not Italy
Peru,94131,South America;Not Italy
Poland,74981,East Europe;Europe;Not Italy
Ecuador,66590,South America;Not Italy
North Macedonia,53443,East Europe;Europe;Not Italy
Bulgaria,49205,East Europe;Europe;Not Italy
Ghana,48280,West Africa;Africa;Not Italy
Brazil,47318,South America;Not Italy
Kosovo,37064,East Europe;Europe;Not Italy
Russia,36982,East Europe;Europe;Not Italy
Germany,32984,West Europe;Europe;Not Italy
Serbia,31342,East Europe;Europe;Not Italy
Dominican Republic,28812,South America;Not Italy
France,28735,West Europe;Europe;Not Italy
Ivory Coast,28385,West Africa;Africa;Not Italy
United Kingdom,28355,West Europe;Europe;Not Italy
Spain,26417,West Europe;Europe;Not Italy
Georgia,22907,East Europe;Europe;Not Italy
Gambia,21826,West Africa;Africa;Not Italy
Cuba,21499,South America;Not Italy
Bosnia and Herzegovina,21234,East Europe;Europe;Not Italy
El Salvador,20608,South America;Not Italy
Mali,20008,West Africa;Africa;Not Italy